No	m2s_r	atio lonm	latm	area(km2)	Vol(km3/yr)	nyr	yrb	yre	elev(m)	CT	CN	River_Name	OCN	Station_Name
54	19000	-81.75	52.25	118000	30.08	34.4	1964	2005	67	CA	NA	Albany	ATL	nr Hat Isla
55	21111	120.25	34.25	121330	26.971	53.7	1915	1989	25	CN	AS	Huai	PAC	"Bengbu, Chi"
56	10370	-78.75	53.75	96300	53.728	18.8	1960	1978	7	CA	NA	Grande (La)	ATL	"en aval de,"
57	14737	46.25	31.75	134000	38.193	34.1	1906	1972	34	IQ	AM	"Tigris (Dicle,"	IND	"Baghdad, Ir"
58	10577	80.25	16.25	251355	51.809	74	1901	1979	-9999	IN	AS	Krishna	IND	"Vijayawada,"
59	14865	-74.25	45.75	89600	36.484	91.8	1914	2005	70	CA	NA	Ottawa	ATL	Chats Falls
60	7143	95.25	21.75	27420	76.88	11	1978	1988	-9999	MM	AS	Chindwin	IND	"Hkamti, Mya"
61	16667	78.75	67.25	100000	32.805	32.1	1962	1996	-9999	RU	AS	Taz	ARC	"Sidorovsk,"
62	11458	11.75	45.25	70091	47.746	80.3	1918	1998	8	IT	EU	Po	MED	Pontelagosc
63	15882	-57.25	5.75	51600	34.267	7	1973	1979	9	SR	SA	Courantyne/Cora	ATL	Mataway (Ma
64	10800	149.75	71.25	305000	50.437	62.3	1936	1998	3	RU	AS	Indigirka	ARC	"Vorontsovo,"
65	10000	4.75	43.75	95590	53.904	81	1920	2000	6	FR	EU	Rhone	MED	"Beaucaire,"
66	11522	-70.75	48.25	73000	45.981	80.3	1913	1993	100	CA	NA	Saguenay	ATL	Centrale d'
67	17586	-88.25	30.75	56894	29.624	76.5	1930	2006	0.1	US	NA	Alabama	ATL	"Claiborne,"
68	10000	-132.25	56.75	51593	50.22	47.3	1954	2006	7.6	AK	NA	Stikine	PAC	nr Wrangell
69	16897	-78.25	52.25	44300	28.659	42	1959	2001	35	CA	NA	Eastmain	ATL	"tete de la,"
70	22857	86.75	20.75	50000	21.283	1	1971	1971	-9999	IN	AS	Brahmani	IND	Barakot bri
71	10000	35.25	47.25	463000	46.822	33	1952	1984	-9999	UA	EU	Dnepr	MED	Dnepr hydro
72	10444	116.75	36.75	734146	44.924	52.3	1934	2000	-9999	CN	AS	Huanghe	PAC	"Gaocung, Ch"
73	12703	-56.25	-5.25	40400	37.088	2.5	1986	1992	-9999	BR	SA	Jamanxim	ATL	"Jamanxim, B"
74	14839	-76.25	39.25	62419	30.392	106.8	1900	2006	88.4	US	NA	Susquehanna	ATL	"Harrisburg,"
75	10952	113.75	22.75	38363	42.126	34.7	1953	1987	-9999	CN	AS	Beijiang	PAC	"Shijiao, Ch"
76	17308	39.25	47.25	378000	24.447	92.9	1900	1995	58	RU	EU	Don	MED	Razdorskaya
77	10000	-150.25	61.75	50246	44.681	52.5	1949	2006	12.2	AK	NA	Susitna	PAC	Susitna Stn
78	11282	73.25	21.75	89345	38.381	26	1949	1979	-9999	IN	AS	Narmada	IND	Garudeshwar
79	18636	-68.75	-50.25	15550	22.011	37.6	1955	1994	206	AR	SA	Santa Cruz	ATL	Charles Fuh
80	14286	-51.75	3.75	25100	26.381	42.8	1953	1996	103	GF	SA	Oyapock (Oiapoq	ATL	"Maripa, Fre"
81	16667	-66.25	58.75	35200	23.462	15.8	1962	1979	104	CA	NA	George	ATL	"aux Chutes,"
82	15385	39.25	-7.75	158200	25.738	16.6	1954	1978	64	TZ	AF	Rufiji	IND	Stiegeler's
83	10000	31.25	31.25	2900000	39.571	12	1973	1984	20	EG	AF	Nile	MED	"El Ekhsase,"
84	11818	-79.25	51.25	57500	32.542	22	1960	1982	243	CA	NA	Nottaway	ATL	tete du Lac
85	10882	0.25	5.75	394100	33.918	47.3	1936	1984	5	GH	AF	Volta	ATL	Senchi (Hal
86	17619	-123.25	45.25	18855	21.004	91	1909	2006	32.4	US	NA	Willamette	PAC	"Salem, OR,"
87	12414	-130.25	54.25	42200	28.536	72.8	1928	2006	100	CA	NA	Skeena	PAC	"Usk, Canada"
88	18947	-0.75	44.75	52000	19.264	58.3	1920	1979	17	FR	EU	Garonne	ATL	Mas-d'Agena
89	12857	-91.75	31.25	174824	27.662	78	1928	2006	13.5	US	NA	Red	ATL	"Alexandria,"
90	19444	103.25	3.25	19000	16.895	31.7	1963	2000	31	MY	AS	Pahang	IND	"Temerloh, M"
91	13600	-80.75	51.75	61100	23.795	45.3	1959	2005	29	CA	NA	Moose	ATL	Moose River
92	11724	100.25	13.75	118816	23.273	86.5	1912	2000	-9999	TH	AS	Chao Phraya	PAC	"Wat Phikun,"
93	10000	-59.25	6.75	53400	35.671	10	1973	1987	12	GY	SA	Cuyuni	ATL	Kamaria Fal
94	10303	18.75	54.25	194000	32.871	94	1900	1994	-9999	PL	EU	Vistula (Wisla)	ATL	"Tczew, Pola"
95	10000	-144.75	60.25	53354	36.212	41.7	1950	2006	121.9	AK	NA	Copper	PAC	"Chitina, AK"
96	12593	-66.25	45.25	39900	35.739	76.6	1918	1995	6	CA	NA	Saint John	ATL	d/s Mactaqu
97	10625	122.25	72.75	198000	34.446	49	1951	1999	-9999	RU	AS	Olenek	ARC	"7.5 km d/s,"
98	12222	-78.75	51.75	40900	26.529	37.5	1963	2001	211	CA	NA	Rupert	ATL	"en aval du,"
99	17368	31.25	60.75	61275	18.72	102	1900	2001	72	FI	EU	Vuoksi	ATL	Tainionkosk
100	11379	162.75	56.25	51600	29.165	47.3	1937	1985	7	RU	AS	Kamchatka	PAC	Bolshie Sch
101	11379	-68.25	49.25	45800	32.097	46.7	1946	1994	37	CA	NA	Manicouagan	ATL	Centrale Mc
102	11852	-78.25	1.75	18800	31.726	9.5	1973	1991	40	EC	SA	Esmeraldas	PAC	"d.j. Sade,"
103	10000	-39.75	-19.25	78456	32.437	68	1967	2006	-9999	BR	SA	Doce	ATL	"Linhares, B"
104	10000	135.75	71.25	224000	33.122	52.4	1951	2006	-9999	RU	AS	Yana	ARC	"Ubileynaya,"
105	10000	-53.25	-1.25	51343	32.113	37.8	1968	2006	-9999	BR	SA	Jari	ATL	Sao Francis
106	10000	-72.75	-37.25	24029	31.876	28.3	1963	1992	-9999	CL	SA	Bo Bo	PAC	desembocadu
107	16000	-87.75	56.25	94300	19.933	22.6	1970	1994	50	CA	NA	Severn-CA	ATL	Limestone R
108	14762	-158.25	58.75	25511	20.987	16	1977	1993	27.4	AK	NA	Nushagak	PAC	"Ekwok, AK,"
109	10000	44.75	-19.75	45000	31.4	24.3	1958	1983	-9999	MG	AF	Tsiribihina	IND	"Betomba, Ma"
110	11111	-73.75	-47.75	23736	27.443	21.8	1963	1984	105	CL	SA	Baker	PAC	"La Colonia,"
111	10000	-50.25	1.25	23373	29.996	41.2	1952	2006	-9999	BR	SA	Araguari	ATL	Porto Plato
112	10357	74.75	68.75	95100	27.852	50.2	1939	1991	2	RU	AS	Pur	ARC	"Samburg, Ru"
113	11600	-130.25	54.75	19200	24.484	66.4	1929	2006	65	CA	NA	Nass	PAC	"u/s Shumal,"
114	17059	-8.75	41.25	91491	17.317	36.8	1933	1969	44	PT	EU	Douro (Duero)	ATL	"Regua, Port"
115	10741	-62.75	-40.75	95000	26.924	66.8	1927	1994	32	AR	SA	Negro-AR	ATL	Primera Ang
116	10000	11.75	-4.25	55010	28.584	22.9	1956	1982	8	CG	AF	Kouilou	ATL	"Sounda, Con"
117	10769	-2.25	47.25	110000	27.553	100	1900	1999	9	FR	EU	Loire	ATL	"Montjean, F"
118	13333	-72.75	-41.75	8620	20.97	43.4	1943	1986	-9999	CL	SA	Puelo	PAC	"Carrero de,"
119	11739	113.75	22.75	25325	23.412	34.3	1953	1987	7	CN	AS	Dongjiang	PAC	"Boluo, Chin"
120	10000	89.25	25.75	20000	28.631	12.8	1969	1992	-9999	BD	AS	Tista	IND	"Kaunia, Ban"
121	12273	9.25	53.75	123532	21.423	102	1900	2001	17	DE	EU	Elbe (Labe)	ATL	Wittenberge
122	10000	-138.25	59.25	28024	27.3	31.3	1974	2006	0	AK	NA	Alsek	PAC	"nr Yakutat,"
123	12857	-88.25	31.75	39847.1	21.223	78.2	1928	2006	17.1	US	NA	Tombigbee River	ATL	Demopolis L
124	10000	-41.25	-21.75	55500	26.226	78.9	1928	2006	14	BR	SA	Paraiba do Sul	ATL	Campos-Pont
125	10833	-41.75	-3.25	282000	24.037	43.3	1963	2006	20	BR	SA	Parnaiba	ATL	Porto Formo
126	10417	48.25	30.75	60769	23.437	66.4	1900	1985	20	IR	AS	Karun	IND	"Ahvaz, Iran"
127	9259	-54.75	-6.25	34693	27.196	20.7	1975	1998	-9999	BR	SA	Curua-2	ATL	"Cajueiro, B"
128	12500	43.75	66.25	56400	20.219	84.4	1920	2006	19	RU	EU	Mezen	ARC	Malonisogor
129	13889	118.25	5.75	10800	16.285	3.8	1981	1985	-9999	MY	AS	Kinabatangan	PAC	"Balat, Mala"
130	10000	-72.75	46.75	42000	23.266	94	1901	1994	99	CA	NA	Saint-Maurice	ATL	Centrale de
131	14375	10.25	-2.75	20000	16.315	6.3	1965	1974	-9999	GA	AF	Nyanga	ATL	"Ibanga, Gab"
132	12778	-47.75	-1.75	38178	18.376	33.7	1971	2006	-9999	BR	SA	Capim	ATL	"Badajos, Br"
133	12941	-93.16	17.98	9000	4.546	3	1976	1978	-9999	MX	NA	Rompido de Sama	ATL	"Reforma, Me"
134	10000	-16.25	16.25	268000	21.691	94.7	1903	2000	14	SN	AF	Senegal	ATL	"Dagana, Sen"
135	10000	-95.75	18.75	21419	21.514	51	1948	2000	22	MX	NA	Papaloapan	ATL	"Papaloapan,"
136	11053	46.25	31.75	274100	19.149	18	1923	1972	28	IQ	AM	Euphrates (Fira	IND	"Hindiya, Ir"
137	10000	11.25	59.75	40221	21.211	83.3	1901	1984	100	NO	EU	Glomma (Glma )	ATL	Langnes (So
138	10000	-85.25	29.75	44548	19.987	78	1928	2006	12.4	US	NA	Apalachicola	ATL	Chattahooch
139	13333	71.75	66.25	48000	14.42	38.1	1955	2005	-9999	RU	AS	Nadym	ARC	"Nadym, Russ"
140	11765	14.25	53.75	109729	16.724	100.2	1900	2000	3	PL	EU	Odra (Oder)	ATL	"Gozdowice,"
141	11875	24.25	56.75	70350	15.75	58.8	1906	1985	75	LV	EU	Daugava (Zapadn	ATL	"Jekabpils,"
142	10000	-92.75	56.75	103000	19.187	28.4	1974	2006	-9999	CA	NA	"Hayes, MB"	ATL	d/s Gods Ri
143	11176	-76.99	55.23	36300	16.634	37.1	1961	2001	-9999	CA	NA	GR Baleine	ATL	BALEINE (GR
144	10000	43.75	-21.75	53225	16.646	26	1951	1983	-9999	MG	AF	Mangoky	IND	"Bevoay, Mad"
145	10000	-69.75	58.75	41700	18.513	30.3	1962	1993	4	CA	NA	Feuilles (R aux	ATL	"en aval de,"
146	10000	-69.75	57.75	42700	18.98	34.6	1962	1999	27	CA	NA	Melezes (R aux)	ATL	"pres de la,"
147	10000	-94.25	58.75	287000	18.357	71.8	1928	2006	-9999	CA	NA	Churchill	ATL	abv.RED HEA
148	10000	102.25	5.75	11900	17.284	50.2	1949	2000	25	MY	AS	Kelantan	PAC	"Guillemard,"
149	10000	168.75	-46.25	20306	17.355	29.1	1954	1984	10	NZ	PO	Clutha	PAC	"Balclutha,"
150	10000	9.25	5.75	6810	17.097	12.6	1967	1979	44	CM	AF	Cross	ATL	Mamfe (Manf
151	10000	24.75	65.75	50599	17.168	91	1911	2001	17	FI	EU	Kemi	ATL	Taivalkoski
152	10000	11.75	57.75	46858	16.505	104	1900	2003	44	SE	EU	Gota	ATL	"Vnern, Swe"
153	10000	126.75	37.25	25046	16.583	24.5	1947	1979	2	KR	AS	Han	PAC	"Indogyo, So"
154	10625	-95.75	67.25	93900	14.913	40.1	1965	2006	27	CA	NA	Back	ARC	u/s Hermann
155	10000	38.25	63.75	55735	16.106	60	1943	2006	10	RU	EU	Onega	ARC	"Porog, Russ"
156	10000	72.75	21.25	61575	15.428	27.3	1940	1979	-9999	IN	AS	Tapi (Tapti)	IND	"Kathore, In"
157	12308	113.75	73.25	78800	14.449	48.1	1954	2005	-9999	RU	AS	Anabar	ARC	"Saskylakh,"
158	10000	-39.25	-16.25	67769	14.445	65.3	1936	2006	-9999	BR	SA	Jequitinhonha	ATL	"Itapebi, Br"
159	12727	37.75	45.25	48100	11.837	86.8	1911	1998	5	RU	EU	Kuban	MED	"Tikhovskiy,"
160	10000	-98.25	22.25	58115	13.614	23	1957	1979	80	MX	NA	Pnuco	ATL	Las Adjunta
161	11667	33.75	-24.75	342000	11.677	3.2	1976	1979	23	MZ	AF	Limpopo	IND	"Chokwe, Moz"
162	10000	-85.25	55.25	50000	13.304	37.5	1965	2005	100	CA	NA	Winisk	ATL	d/s Ashewei
163	10000	0.75	40.75	84230	14.82	72	1913	1999	8	ES	EU	Ebro	MED	"Tortosa, Sp"
164	10000	27.75	59.25	56000	12.453	85.6	1902	1991	-9999	EE	EU	Narva	ATL	"Narva Ges,"
165	9211	-114.75	31.75	444701	12.36	72.5	1934	2006	31.4	US	NA	Colorado-AR	PAC	blw Hoover
166	10000	1.25	49.75	65000	10.527	7	1971	1977	-9999	FR	EU	Seine	ATL	"Poses, Fran"
167	10000	-115.25	67.75	50700	9.031	40.7	1965	2006	-9999	CA	NA	Coopermine	ARC	"COPPERMINE,"
168	11000	30.25	46.25	66100	9.868	56.9	1900	1985	2	MD	EU	Dnestr	MED	Bendery (Be
169	10000	-9.25	39.25	67490	9.981	72	1913	1990	200	PT	EU	"Tagus (Tejo, Ta"	ATL	"Almourol, P"
170	13378	-44.25	-2.75	50800	7.455	42.6	1968	2006	15	BR	SA	Itapecuru	ATL	"Cantanhede,"
171	10000	147.25	-19.75	129450	8.897	77.7	1921	2000	9	QX	AU	Burdekin	PAC	"Clare, Aust"
172	11059	139.25	-35.25	991000	8.518	69.9	1930	2000	48.6	VX	AU	Murray	IND	Euston weir
173	10120	161.25	68.25	49600	8.415	23	1978	2000	-9999	RU	AS	Bolshoy Anyuy	ARC	Konstantino
174	10000	-105.25	21.75	128943	8.375	26	1956	1981	39	MX	NA	Grande de Santi	PAC	"El Capomal,"
175	10000	-4.75	5.25	95500	8.3	38	1954	1991	13	CI	AF	Bandama	ATL	"Tiassal, I"
176	10000	79.75	10.75	74004	7.702	5	1971	1979	58	IN	AS	Cauvery	IND	Grand Anicu
177	12295	42.75	0.75	179520	6.086	25.8	1951	1979	-9999	SO	AF	Juba	IND	"Luug (Lugh,"
178	10000	150.75	-23.25	135860	13.822	85.7	1914	2001	-9999	QX	AU	Fitzroy-QX	PAC	"The Gap, Au"
179	10597	-95.25	29.25	116568	6.704	87.5	1903	2006	8.5	US	NA	Brazos	ATL	"Richmond, T"
180	11333	-3.75	5.25	66500	5.776	41.8	1953	1994	120	CI	AF	Como (Komo)	ATL	"Aniassu, I"
181	17838	-37.75	-4.75	48200	3.692	32.1	1961	2006	50	BR	SA	Jaguaribe	ATL	Peixe Gordo
182	10000	130.25	-13.25	46600	7.651	31.8	1969	2001	15	NT	AU	Daly	IND	"Mt Nancar,"
183	10000	2.25	6.75	46990	5.443	33.8	1948	1992	-9999	BJ	AF	Oum	ATL	"Bonou, Beni"
184	10833	-7.25	37.25	60883	4.874	43.9	1946	1990	30	PT	EU	Guadiana	ATL	Pulo do Lob
185	10870	-129.25	69.75	56300	4.619	30.4	1969	2006	-9999	CA	NA	Anderson	ARC	d/s Carnwat
186	15313	129.75	-15.25	44900	4.205	39.5	1953	2001	40	NT	AU	Victoria	IND	Coolibah Ho
187	20000	135.25	-14.75	47400	3.147	32.8	1966	2001	15.5	AU	AU	Roper	PAC	"Red Rock, A"
188	13143	122.25	40.75	120764	3.512	56.8	1938	2000	-9999	CN	AS	Liao	PAC	"Chiling, Ch"
189	10000	16.75	-28.25	850530	6.884	65.2	1935	2001	-9999	ZA	AF	Orange (Senqu)	ATL	Vioolsdrift
190	10488	-38.75	-12.75	53866	4.06	56.1	1964	2006	50	BR	SA	Paraguacu	ATL	Pedra do Ca
191	10000	-39.25	-14.25	56290	3.415	70.1	1935	2006	50	BR	SA	Contas [de]	ATL	"Ubaitaba, B"
192	10313	-6.25	36.75	46995	9.966	75.9	1913	1994	10	ES	EU	Guadalquivir	ATL	"Alcala del,"
193	13200	-110.25	27.75	57908	2.478	4	1976	1979	480	MX	NA	Yaqui	PAC	"El Novillo,"
194	10000	-95.75	28.75	108787	2.583	74.7	1919	2006	16	US	NA	Colorado-TX	ATL	"Wharton, TX"
195	10000	-97.25	25.75	456700	1.499	67	1934	2000	-9999	US	NA	Rio Grande (Bra	ATL	"Matamoros,"
196	10000	118.75	-20.25	49895	1.447	22.7	1974	2000	26	WX	AU	de Grey	IND	Coolenar Po
197	10000	113.75	-24.75	73545	0.718	41.3	1957	1998	16.9	WX	AU	Gascoyne	IND	Nine Mile B
198	17500	115.75	-31.75	118200	0.374	29.8	1970	2000	20.3	WX	AU	Avon	IND	"Walyunga, A"
199	10000	116.25	-21.25	48945	0.265	29.8	1968	1998	-9999	WX	AU	Fortescue	IND	Jimbegnyino
200	10000	114.25	-27.75	84880	0.175	31.5	1967	1999	-9999	WX	AU	Murchison	IND	Emu Springs
201	10000	-92.75	18.25	37702	16.92	32.6	1947	1981	18	MX	NA	Grijalva	ATL	Reforma
202	10000	-67.58	57.88	29800	15.975	38.5	1956	1999	26	CA	NA	Baleine (R  la	ATL	pres de l'e
203	10000	-155.9	59.33	16835	15.997	20.2	1967	1987	13.7	AK	NA	Kvichak	PAC	"Igiugig, AK"
204	10000	138.8	37.3	9719	15.856	50	1951	2000	40	JP	AS	Shinano	PAC	Ojiya
205	10000	-124	41.51	31339	15.941	63.3	1910	1999	-9999	US	NA	Klamath	PAC	"Klamath, CA"
206	10000	21.67	65.8	24707	15.811	102	1900	2003	11	SE	EU	Lule	ATL	Boden Water
207	10000	-59.6	50.7	19100	15.465	13.9	1965	1980	50	CA	NA	Petit Mecatina	ATL	WSC site 02
208	10000	-53.7	-0.42	30945	15.451	16.3	1973	1989	-9999	BR	SA	Par de Este	ATL	Fazenda Paq
209	10000	45.53	-19.8	17990	15.499	3.3	1980	1983	-9999	MG	AF	Mania	IND	Ankotrofots
210	10000	137.5	52.7	41000	15.224	44.4	1941	1985	92	RU	AS	Amgun	PAC	Guga
211	10000	-84.68	13.07	15073	15.803	10.7	1971	1982	-9999	NI	CA	Grande de Matag	ATL	San Pedro d
212	10000	-72.61	41.99	25019	15.025	72.4	1928	2000	11.7	US	NA	Connecticut	ATL	Thompsonvil
213	10000	-46.32	-1.8	31064	14.984	26.8	1972	1999	-9999	BR	SA	Gurupi	ATL	Alto Bonit
214	10000	141.53	43.12	12697	14.91	47	1954	2000	-9999	JP	AS	Ishikari	PAC	Ishikari-Oh
215	10000	-66.18	50.35	19000	13.189	34.8	1965	2000	17	CA	NA	Moisie	ATL	5.1 km u/s
216	10000	-47.84	-24.49	20855	14.48	46.3	1953	1999	10	BR	SA	Ribeira do Igua	ATL	Registro 4F
217	10000	171.7	-41.83	6350	14.394	9.8	1964	1984	25	NZ	PO	Buller	PAC	Te Kuha
218	10000	10.12	3.57	26400	14.084	25.8	1951	1977	35	CM	AF	Nyong	ATL	Dhan
219	10000	120.33	28.15	13560	14.063	36	1951	1986	-9999	CN	AS	Oujiang	PAC	Yuren
220	10000	34.55	-21.15	100885	13.982	3.8	1976	1979	20	MZ	AF	Save (Sabi)	IND	Vila Franca
221	10000	-160.13	66.97	24657	13.566	25.6	1976	2003	10.7	AK	NA	Kobuk	ARC	"nr Kiana, A"
222	10000	46.85	-17.42	18550	13.832	32.6	1948	1982	-9999	MG	AF	Ikopa	IND	Antsatrana
223	10000	45.47	-19.52	14375	13.897	2	1981	1983	-9999	MG	AF	Mahajilo	IND	Miandrivazo
224	10000	-84.4	11.02	28600	12.435	10.5	1969	1989	26	NI	CA	San Juan	ATL	El Castillo
225	10000	-94.87	17.43	9224	13.041	4	1976	1979	20	MX	NA	Coatzacoalcos	ATL	Las Perlas
226	10000	-61.59	50.19	16000	11.235	13.6	1962	1975	5	CA	NA	Natashquan	ATL	pres de l'e
227	10000	-21	63.94	5760	12.577	41.5	1950	1992	12	IS	EU	Hvita (Olfusa)	ATL	Selfoss
228	10000	-81.83	31.65	35224	12.491	67	1931	1998	7.5	US	NA	Altamaha	ATL	"Doctortown,"
229	10000	-73.69	42.75	20953	12.41	51.8	1946	1998	0.1	US	NA	Hudson	ATL	Green Islan
230	10000	-68.4	49.15	18900	12.341	57.3	1922	1979	58	CA	NA	Outardes (R aux	ATL	Centrale de
231	10000	-133.7	58.54	17094	12.247	12.2	1987	1999	15.2	AK	NA	Taku	PAC	"nr Juneau,"
232	10000	-72.97	-40.32	3714	12.231	35.6	1929	1966	-9999	CL	SA	Bueno	PAC	Bueno
233	10000	73.03	22.3	33670	12.073	11	1968	1979	-9999	IN	AS	Mahi	IND	Sevalia
234	10000	-49.07	-26.92	11803	12.082	57	1939	1999	12	BR	SA	Itajai-Acu	ATL	Blumenau (P
235	10000	13.08	-4.11	23385	11.966	15	1969	1983	105	CG	AF	Niari	ATL	Loudima
236	10000	17.27	63.17	30639	12.935	95	1909	2003	4	SE	EU	Angerman	ATL	Solleftea
237	10000	-20.63	63.93	7200	11.47	44.6	1947	1993	44	IS	EU	Thjorsa	ATL	Urridafoss
